…	SE
revolutionary	SL
Revolutionibus	SL
REVOLVER	SL
RF	SL
RFART	SL
RFIDXHD	SL
RFIDXRF	SL
Rh	SL
rhabdome	SL
RheinischeZeitung	SL
Rheticus	SL
rhetoric	SL
Rhodes	SL
Rhodesia	SL
rhythm	SL
ricality	SL
Richard	SL
RID	SL
Riemann	SL
right	SL
rights	SL
Ring	SL
RISC	SL
Rise	SL
ritual	SL
rK	SL
rm	SL
RMSE	SL
RNA	SL
Road	SL
Roast	SL
Robbe	SL
Robert	SL
RobertVeatch	SL
robin	SL
robot	SL
Rock	SL
Roeder	SL
Roger	SL
roll	SL
ROM	SL
Romani	SL
RonaldCranford	SL
Rond	SL
Root	SL
Rooth	SL
Rorty	SL
Rosaceae	SL
rose	SL
ross	SL
Rota	SL
ROTC	SL
Rote	SL
Rothstein	SL
rotor	SL
Rotunda	SL
Roubaud	SL
Rougue	SL
Round	SL
Rourke	SL
Rousseau	SL
route	SL
Rowan	SL
RowingwiththeWind	SL
ROWOHLT	SL
Royal	SL
Royalty	SL
RP	SL
rpana	SL
RPC	SL
RPG	SL
rpm	SL
RPT	SL
RTHK	SL
RTL	SL
rty	SL
RUBBER	SL
Rubin	SL
rucksack	SL
rule	SL
Runaway	SL
Rural	SL
Rus	SL
Ruskin	SL
Ruth	SL
RW	SL
rye	SL
S	SL
SA	SL
sad	SL
sadder	SL
Saeculares	SL
Safe	SL
Sage	SL
said	SL
Saint	SL
Saintsbury	SL
sala	SL
Sale	SL
Salietai	SL
Salinas	SL
salinity	SL
salt	SL
Salutati	SL
Salvador	SL
salworld	SL
Samgharama	SL
Samos	SL
Samstag	SL
Samuel	SL
samulnori	SL
San	SL
sand	SL
SanLorenzo	SL
Sanskrit	SL
Sanspirito	SL
Sapiens	SL
SAR	SL
saram	SL
Sarerno	SL
Sarti	SL
Sartre	SL
Satellite	SL
saudara	SL
Saul	SL
Saussure	SL
SBA	SL
SBC	SL
SBR	SL
SBS	SL
SBSTV	SL
Scale	SL
scam	SL
Scape	SL
scarface	SL
scene	SL
Schelling	SL
schema	SL
Schiele	SL
Schiller	SL
Schmidt	SL
Schmitt	SL
Schmitter	SL
Schoen	SL
Scholar	SL
school	SL
schooner	SL
Schubert	SL
Schule	SL
Schumpeter	SL
Schuts	SL
Schwenk	SL
Schwester	SL
schwesterseele	SL
science	SL
ScienceDigest	SL
scope	SL
Scott	SL
Screws	SL
SCSI	SL
Scyliorhinidae	SL
SDATA	SL
SDC	SL
SDI	SL
SDR	SL
se	SL
Sea	SL
seacute	SL
SeaHorse	SL
seanmount	SL
sec	SL
SECOM	SL
Second	SL
secondary	SL
secret	SL
section	SL
sector	SL
security	SL
sediment	SL
see	SL
seeing	SL
seek	SL
seeks	SL
seem	SL
SeeMe	SL
Segal	SL
segmentary	SL
segrave	SL
SEISMIC	SL
SEIU	SL
selecion	SL
selectivitr	SL
selectivity	SL
Selecus	SL
self	SL
SEM	SL
semantic	SL
semipermeable	SL
sender	SL
Senhanom	SL
senisocial	SL
sens	SL
sensation	SL
sensationalism	SL
Sense	SL
SenseAnd	SL
Sensibility	SL
Sensing	SL
Sensitive	SL
Sensor	SL
Sentiments	SL
senusocual	SL
Seoul	SL
September	SL
sequence	SL
Sergei	SL
SERI	SL
serial	SL
SeriIndian	SL
Serranidae	SL
Service	SL
Services	SL
Servomotor	SL
session	SL
set	SL
SETEC	SL
Seven	SL
SEWA	SL
Sex	SL
sexism	SL
sexplants	SL
sexual	SL
sexuality	SL
sexuals	SL
Seymour	SL
SF	SL
sforzando	SL
SFX	SL
SG	SL
SGA	SL
Sgt	SL
Sh	SL
Shading	SL
Shadow	SL
shaft	SL
Shakespeare	SL
shape	SL
Share	SL
sharkyextreme	SL
she	SL
sheel	SL
Sheet	SL
Shelley	SL
Shelly	SL
Shen	SL
Sherwood	SL
Shi	SL
shift	SL
shifts	SL
Shils	SL
Shining	SL
shock	SL
SHOE	SL
Shoen	SL
Shona	SL
SHOPPING	SL
shore	SL
short	SL
shot	SL
should	SL
shoulder	SL
Shoun	SL
Show	SL
Si	SL
sibi	SL
sicarius	SL
SICC	SL
SIDance	SL
sidon	SL
Siemens	SL
Sierra	SL
Sigmund	SL
sign	SL
signature	SL
Signifi	SL
Signifiant	SL
significance	SL
Silicon	SL
Siliconindia	SL
silla	SL
SIM	SL
Simaroubaceae	SL
Simens	SL
Simon	SL
SimonSays	SL
simplest	SL
Simplicity	SL
simtel	SL
sin	SL
sineansis	SL
Singer	SL
single	SL
sinx	SL
SiO	SL
Sir	SL
SIS	SL
sischeJahrb	SL
sister	SL
site	SL
Sites	SL
Sizzle	SL
SK	SL
Skalnik	SL
SKC	SL
SKD	SL
SKG	SL
Skid	SL
Skidmore	SL
Skies	SL
skill	SL
skin	SL
skounk	SL
Sky	SL
SL	SL
slack	SL
slag	SL
Slanacik	SL
slash	SL
Slave	SL
SLD	SL
slogan	SL
slot	SL
SM	SL
SMARTDR	SL
SMARTDRV	SL
SMCOM	SL
SMD	SL
SMDS	SL
smell	SL
Smetana	SL
smh	SL
Smith	SL
Smithson	SL
Smithsonian	SL
SMMF	SL
Smythe	SL
SNA	SL
SnakeEyes	SL
snow	SL
snowcat	SL
Snyder	SL
SO	SL
sociability	SL
sociable	SL
social	SL
sociale	SL
sociality	SL
socially	SL
society	SL
sociocologie	SL
sociocultural	SL
sociological	SL
socire	SL
Socrates	SL
SOD	SL
Sodomucus	SL
SOFA	SL
soft	SL
SoftSynthesizer	SL
software	SL
sokcho	SL
sol	SL
soldiers	SL
solidarity	SL
Solition	SL
Solothurn	SL
solutary	SL
somatic	SL
sometimes	SL
Sommerloch	SL
SONY	SL
Sophists	SL
Sophocles	SL
SORWUC	SL
SOS	SL
soul	SL
souml	SL
sound	SL
soundpictures	SL
SOUP	SL
soupcon	SL
source	SL
Souriau	SL
sousrature	SL
sovual	SL
sozialist	SL
sp	SL
SPA	SL
space	SL
SPAN	SL
Spar	SL
SPARC	SL
Sparks	SL
Sparta	SL
SPD	SL
Speaker	SL
Spear	SL
Special	SL
Specials	SL
Species	SL
specific	SL
specification	SL
specified	SL
spectacle	SL
speech	SL
speed	SL
spelen	SL
Spencer	SL
sphere	SL
spin	SL
spinal	SL
spine	SL
Spinoza	SL
spiral	SL
Spirit	SL
Spitzer	SL
spokesmanship	SL
Spongospora	SL
Sponsor	SL
spontaneity	SL
sport	SL
Sportans	SL
sports	SL
SportsLine	SL
sportsnet	SL
SPR	SL
spray	SL
Spread	SL
Spreitzer	SL
spring	SL
Sproat	SL
SPUR	SL
square	SL
Squared	SL
SR	SL
sRaonbow	SL
Sravasti	SL
SS	SL
SSAMZANG	SL
SSO	SL
SSU	SL
ssy	SL
St	SL
stades	SL
STAFF	SL
Stage	SL
Stallman	SL
stamp	SL
Standard	SL
standards	SL
stanford	SL
Star	SL
Starbuck	SL
starcomp	SL
Stardmltk	SL
stars	SL
START	SL
started	SL
state	SL
States	SL
static	SL
stations	SL
status	SL
Steedman	SL
Stein	SL
Stella	SL
step	SL
Stepan	SL
Steward	SL
stimuli	SL
StLouis	SL
stocks	SL
Stone	SL
StoneBoy	SL
stonehenge	SL
STOP	SL
Storage	SL
STORE	SL
story	SL
Storyline	SL
storytelling	SL
STP	SL
strategy	SL
stratification	SL
Strauss	SL
Streamworks	SL
Street	SL
STREETOFDREAMSMAGAZINE	SL
strenght	SL
Strike	SL
striking	SL
strong	SL
structuralism	SL
Structure	SL
Stu	SL
Stuart	SL
Studies	SL
Studio	SL
Studium	SL
study	SL
stupa	SL
stupid	SL
style	SL
Su	SL
sub	SL
subjective	SL
sublime	SL
Submilimeter	SL
subsocial	SL
substitute	SL
subterranea	SL
subversive	SL
succubus	SL
Suggestion	SL
SUHIL	SL
Sui	SL
suit	SL
SuitebyChance	SL
sulfonate	SL
sum	SL
Sumarians	SL
Summa	SL
Summe	SL
summer	SL
SumSociety	SL
Sun	SL
sunet	SL
sunic	SL
supercluster	SL
superior	SL
superpowers	SL
SUPEX	SL
Supp	SL
supporting	SL
surfjapan	SL
surfkorea	SL
Survey	SL
Susa	SL
sustainable	SL
SUT	SL
suuml	SL
SUV	SL
SUWEST	SL
SW	SL
SWAS	SL
Sweeney	SL
Sweet	SL
Swiched	SL
Swingewood	SL
Swiss	SL
Swisse	SL
switch	SL
Switzerland	SL
sword	SL
SY	SL
Syene	SL
Sylvain	SL
symbol	SL
symbolate	SL
symbolic	SL
Symbolics	SL
symbolization	SL
symbolize	SL
symbology	SL
symbols	SL
Symentec	SL
sympathetic	SL
synapse	SL
synaptic	SL
syndicalisme	SL
syne	SL
synthesizer	SL
syphon	SL
system	SL
SystemShock	SL
T	SL
TAB	SL
tabacum	SL
taboo	SL
tabula	SL
tacolil	SL
Tadeusz	SL
taegu	SL
Tag	SL
TAHOE	SL
tailored	SL
Taine	SL
Tajfel	SL
takala	SL
takami	SL
Take	SL
tale	SL
tales	SL
talkn	SL
tan	SL
Tannahill	SL
tape	SL
tar	SL
TARGET	SL
targeting	SL
taste	SL
Tate	SL
Tateda	SL
Tb	SL
TBC	SL
TC	SL
Tchaikovsky	SL
TCI	SL
TCP	SL
TCS	SL
TDX	SL
Te	SL
Tea	SL
teach	SL
team	SL
teamster	SL
Teaser	SL
Techno	SL
Technological	SL
Technology	SL
Teilhard	SL
Tekken	SL
Tel	SL
telart	SL
tele	SL
telencephalon	SL
teleologist	SL
teleoperation	SL
telephone	SL
television	SL
Tell	SL
Temple	SL
temporality	SL
temps	SL
ten	SL
Tendler	SL
tension	SL
TeodorHerzl	SL
TEPS	SL
Terabit	SL
TeraCom	SL
terminal	SL
terrigenous	SL
Territories	SL
test	SL
TEU	SL
text	SL
textual	SL
TFT	SL
TGV	SL
TH	SL
Thai	SL
thalamus	SL
Thales	SL
than	SL
Thank	SL
that	SL
the	SL
Theador	SL
theat	SL
Theatre	SL
TheDeele	SL
TheIndianRunner	SL
TheMarchofTime	SL
TheMiracleofMorgansCreek	SL
TheNewYorkTribune	SL
Theobald	SL
Theologica	SL
Theophany	SL
theoretical	SL
theoria	SL
Theorie	SL
theory	SL
ThePsychologyofMotorLearning	SL
Therapy	SL
there	SL
TheRiseandFalloftheGreatPowers	SL
thermal	SL
thermocline	SL
thermohaline	SL
TheScarletLetter	SL
TheZero	SL
thing	SL
Third	SL
This	SL
thistle	SL
Thomas	SL
Thompson	SL
Thornton	SL
though	SL
three	SL
threshold	SL
through	SL
Thun	SL
Thurow	SL
TI	SL
tide	SL
tidel	SL
ties	SL
Tilt	SL
time	SL
Tin	SL
Tinbergen	SL
TiO	SL
Tired	SL
titanium	SL
titech	SL
TK	SL
TKO	SL
TL	SL
TLC	SL
TM	SL
TMR	SL
tne	SL
tns	SL
TNT	SL
to	SL
Tobacco	SL
TOC	SL
TOCID	SL
TOD	SL
TODAY	SL
Todorov	SL
TOEFL	SL
TOEIC	SL
Toffler	SL
together	SL
toluene	SL
Tom	SL
Tomb	SL
tone	SL
Tony	SL
tonybae	SL
Too	SL
tool	SL
top	SL
tophead	SL
Toppos	SL
Toqueville	SL
Torun	SL
Tosti	SL
total	SL
Totalitat	SL
totemism	SL
touch	SL
Tournament	SL
toward	SL
town	SL
TOYBOX	SL
TOYSTORY	SL
TPP	SL
TR	SL
track	SL
trade	SL
trading	SL
traditional	SL
tragic	SL
tragoedia	SL
Training	SL
trains	SL
trans	SL
Transac	SL
transaction	SL
Transcendental	SL
transfer	SL
translation	SL
transmission	SL
Transmyocardial	SL
transnationalize	SL
Transparency	SL
transpositions	SL
Traudt	SL
TRAVEL	SL
Treatise	SL
trench	SL
trendy	SL
tribe	SL
trim	SL
trimmed	SL
Tripod	SL
trndlr	SL
trophallactictheory	SL
trough	SL
TRS	SL
TRW	SL
try	SL
Tse	SL
tstd	SL
TSUNAMI	SL
TTL	SL
TTV	SL
tu	SL
tube	SL
Tubes	SL
Tuchman	SL
Tuko	SL
Tuner	SL
TUnncl	SL
turbidity	SL
turbo	SL
ture	SL
Turgot	SL
Turnaraund	SL
Turner	SL
TUV	SL
TV	SL
TVA	SL
two	SL
TXM	SL
Tycho	SL
Tyldesley	SL
Tylor	SL
Tyonbee	SL
TYP	SL
type	SL
types	SL
typesetting	SL
typing	SL
tyurs	SL
U	SL
ubc	SL
UBL	SL
UBS	SL
UC	SL
UCLA	SL
Ucs	SL
udel	SL
UDF	SL
UDT	SL
UDU	SL
UF	SL
UFO	SL
ug	SL
UHF	SL
UIP	SL
UL	SL
Ulich	SL
ULM	SL
ULSI	SL
Ultima	SL
Ultra	SL
Umberto	SL
umol	SL
UN	SL
unbundled	SL
UNC	SL
uncleus	SL
unconscious	SL
UNCONSOLIDATED	SL
UNCTAD	SL
UND	SL
Under	SL
underdeveloped	SL
UNDERGROUNDER	SL
underlying	SL
understanding	SL
UNDHA	SL
UNDP	SL
UNESCO	SL
UNFICYP	SL
UNFORGIVEN	SL
UNFP	SL
unhappier	SL
unhappy	SL
UNICEF	SL
Union	SL
unionism	SL
unionsim	SL
UNISOM	SL
Unit	SL
UNITA	SL
unitary	SL
United	SL
UNIVAC	SL
Universal	SL
Universals	SL
universe	SL
Universitas	SL
UNIX	SL
Unixboxes	SL
unlearning	SL
Unlimited	SL
Unmirrelbarkeit	SL
UNO	SL
UnoDosTres	SL
unofficial	SL
UNPROFOR	SL
Unreal	SL
UNRWA	SL
Unt	SL
UNTAC	SL
Untouchables	SL
Unusquisqui	SL
up	SL
UPI	SL
Upon	SL
Uposathagara	SL
UPS	SL
Uptthana	SL
UR	SL
Urban	SL
Urbino	SL
urinary	SL
url	SL
Uruguay	SL
US	SL
usahe	SL
Use	SL
Useem	SL
User	SL
USS	SL
USTA	SL
utah	SL
utexas	SL
utilitarianism	SL
utility	SL
Utitz	SL
uu	SL
uunet	SL
UV	SL
UWCJK	SL
UWK	SL
V	SL
VA	SL
VAH	SL
vair	SL
VAL	SL
Valencia	SL
Valentine	SL
Valla	SL
Valuation	SL
value	SL
values	SL
Vampire	SL
Van	SL
Variable	SL
Variety	SL
Varis	SL
vase	SL
vatican	SL
VAX	SL
VCR	SL
VDO	SL
vdolive	SL
VDT	SL
ve	SL
Veatch	SL
VEB	SL
vector	SL
Vedral	SL
vehicle	SL
Ven	SL
venture	SL
verbal	SL
Veritas	SL
Vermeer	SL
verre	SL
version	SL
vertrete	SL
Very	SL
verzerrte	SL
vesicle	SL
Vespaiano	SL
VFD	SL
VH	SL
VHA	SL
VHC	SL
VHF	SL
VI	SL
VIBRA	SL
Vibrato	SL
Victory	SL
video	SL
Vietnam	SL
Viewspaper	SL
Vihara	SL
VII	SL
Vilcabamba	SL
Village	SL
Vincent	SL
violated	SL
violoncello	SL
VIP	SL
Virginia	SL
VIS	SL
visible	SL
vision	SL
VISS	SL
visual	SL
Vitali	SL
vivo	SL
VJ	SL
Vladimir	SL
VLSI	SL
vocaltech	SL
VOD	SL
Voice	SL
Volks	SL
Volksbank	SL
Voltaire	SL
volumes	SL
voluntary	SL
von	SL
vorticists	SL
vote	SL
voxware	SL
Voyage	SL
VP	SL
VQ	SL
VRML	SL
Vroey	SL
vs	SL
VTR	SL
VV	SL
Vx	SL
Vy	SL
W	SL
wage	SL
Wagenisse	SL
walked	SL
Wall	SL
Wallerstein	SL
Walrus	SL
WAM	SL
want	SL
wants	SL
War	SL
Warburg	SL
Wargasm	SL
Warner	SL
wash	SL
washington	SL
Wassily	SL
water	SL
Waterman	SL
Watson	SL
Watt	SL
wave	SL
Way	SL
ways	SL
WB	SL
WBA	SL
WBC	SL
WCC	SL
wco	SL
WDA	SL
We	SL
weakly	SL
Wealth	SL
wear	SL
Web	SL
webcasting	SL
Webconomy	SL
Weber	SL
webmaster	SL
wedge	SL
Weekly	SL
WEF	SL
WEFA	SL
Weick	SL
weighted	SL
Weil	SL
Weingrad	SL
Weingrod	SL
Welcome	SL
Wellmer	SL
Welt	SL
were	SL
wergild	SL
West	SL
WESTLAW	SL
Westminster	SL
WEU	SL
WFP	SL
WGA	SL
wh	SL
what	SL
Wheel	SL
Wheeler	SL
Whelan	SL
WheretheRiveRunBlack	SL
which	SL
whisker	SL
White	SL
Whiting	SL
Whitney	SL
WHO	SL
whole	SL
wholism	SL
Whting	SL
Why	SL
WIDE	SL
widely	SL
Wiggins	SL
Wikler	SL
Wilberg	SL
Wilehlm	SL
Will	SL
William	SL
WilliamJames	SL
Williams	SL
willing	SL
willingness	SL
Wilson	SL
Wimsatt	SL
wind	SL
Windahl	SL
windows	SL
wings	SL
winniep	SL
Winterthur	SL
WIPO	SL
Wired	SL
Wisconsin	SL
WissenschaftderLogik	SL
Wissler	SL
with	SL
Wittfogel	SL
WittParkerWheelwright	SL
WLL	SL
Wochenende	SL
Wohlegefallen	SL
womanplus	SL
Women	SL
Wood	SL
Woodstock	SL
Woolf	SL
word	SL
Words	SL
work	SL
worker	SL
Workers	SL
Working	SL
works	SL
Workstation	SL
World	SL
WorldDepelopmentReport	SL
WorldDevelopmentReport	SL
Worldly	SL
worry	SL
Worten	SL
WORTH	SL
would	SL
WOWOW	SL
WP	SL
WPC	SL
Wright	SL
Writers	SL
wsmr	SL
WTI	SL
WTO	SL
WTUL	SL
wuarchive	SL
Wundt	SL
wup	SL
wust	SL
WWB	SL
WWII	SL
www	SL
WyndhamKnoll	SL
X	SL
xa	SL
xAB	SL
xAGxMN	SL
Xavier	SL
xax	SL
xb	SL
xCD	SL
Xceed	SL
XENIX	SL
Xerox	SL
Xing	SL
xingtech	SL
XJ	SL
XL	SL
XLT	SL
Xn	SL
XO	SL
Xr	SL
XT	SL
XU	SL
XX	SL
XXr	SL
XXX	SL
XXXX	SL
XXXY	SL
XXY	SL
XY	SL
XYZ	SL
xz	SL
y	SL
Yahoo	SL
yasserarafat	SL
YCC	SL
Year	SL
Yeats	SL
yellow	SL
YellowSubmarine	SL
Yes	SL
Yeshiva	SL
yich	SL
yjcc	SL
YMCA	SL
YO	SL
yoga	SL
Yongsan	SL
York	SL
you	SL
Young	SL
YOUR	SL
Yourself	SL
YS	SL
YTN	SL
Yucatan	SL
YWCA	SL
Z	SL
Zalanthias	SL
Zamenhof	SL
Zapotec	SL
ZDF	SL
ZEIT	SL
Zeitgeist	SL
Zero	SL
zi	SL
Zilog	SL
Zion	SL
Zionism	SL
ZIP	SL
Zn	SL
znamenny	SL
znamya	SL
ZnO	SL
zone	SL
ZONG	SL
ZRHAA	SL
zssamul	SL
Zucker	SL
zum	SL
Zurich	SL
ZurKritikderpolitischenOkonomie	SL
Ш	SL
サ	SL
さん	SL
ス	SL
ト	SL
の	SL
ヒ	SL
フ	SL
マスコミ	SL
.016	SN
.0361	SN
.04	SN
.1	SN
.10	SN
.100	SN
.11	SN
.1168	SN
.117	SN
.12	SN
.13	SN
.131	SN
.14	SN
.145	SN
.148	SN
.15	SN
.150	SN
.1501	SN
.152	SN
.16	SN
.163	SN
.171	SN
.1714	SN
.172	SN
.18	SN
.19	SN
.190	SN
.1937	SN
.1952	SN
.1974	SN
.2	SN
.20	SN
.213	SN
.215	SN
.22	SN
.22701	SN
.23	SN
.24	SN
.248	SN
.25	SN
.256	SN
.257	SN
.264	SN
.27	SN
.28	SN
.3	SN
.30	SN
.300	SN
.31	SN
.32	SN
.333	SN
.34	SN
.348	SN
.35	SN
.36	SN
.37	SN
.38	SN
.384	SN
.39	SN
.4	SN
.40	SN
.41	SN
.42	SN
.427	SN
.43	SN
.45	SN
.454	SN
.457	SN
.46	SN
.469	SN
.47	SN
.48	SN
.481	SN
.49	SN
.5	SN
.50	SN
.51	SN
.511	SN
.52	SN
.53	SN
.54	SN
.55	SN
.56	SN
.57	SN
.576	SN
.58	SN
.59	SN
.590	SN
.6	SN
.6.2	SN
.60	SN
.61	SN
.62	SN
.63	SN
.682	SN
.69	SN
.7	SN
.70	SN
.72	SN
.73	SN
.76	SN
.77	SN
.8	SN
.80	SN
.82	SN
.86	SN
.87	SN
.9	SN
.90	SN
.96	SN
0	SN
0.0	SN
0.0001	SN
0.0005	SN
0.001	SN
0.00254	SN
0.003	SN
0.005	SN
0.01	SN
0.017	SN
0.02	SN
0.024	SN
0.03	SN
0.04	SN
0.05	SN
0.055	SN
0.069	SN
0.07	SN
0.1	SN
0.101001000100001000001000000100000001000000001	SN
0.1234	SN
0.14	SN
0.15	SN
0.16	SN
0.2	SN
0.20	SN
0.21	SN
0.23	SN
0.25	SN
0.3	SN
0.303	SN
0.308	SN
0.32	SN
0.329	SN
0.33	SN
0.34	SN
0.35	SN
0.38	SN
0.4	SN
0.40	SN
0.43	SN
0.45	SN
0.467	SN
0.5	SN
0.50	SN
0.56	SN
0.59	SN
0.6	SN
0.63	SN
0.650	SN
0.66	SN
0.7	SN
0.71	SN
0.75	SN
0.762	SN
0.77	SN
0.79	SN
0.8	SN
0.80	SN
0.86	SN
0.9	SN
0.93	SN
0.98	SN
0.9999	SN
00	SN
000	SN
0000	SN
0003	SN
0004	SN
0006	SN
0007	SN
0008	SN
0009	SN
001	SN
0013	SN
0014	SN
0016	SN
0017	SN
002	SN
0025	SN
0027	SN
003	SN
0031	SN
004	SN
005	SN
0061	SN
007	SN
0070	SN
008	SN
0083	SN
01	SN
011	SN
0111	SN
01110	SN
013	SN
013733	SN
014	SN
015	SN
0161	SN
017	SN
019	SN
02	SN
02.24	SN
02.25	SN
02.27	SN
020	SN
0202	SN
021	SN
0216	SN
022	SN
023382845	SN
0236724447	SN
024	SN
024161627	SN
024188394	SN
025	SN
025019501	SN
025019510	SN
02514	SN
026865785	SN
027	SN
028	SN
0280	SN
029872304	SN
03	SN
0301.002	SN
0301.003	SN
0301.004	SN
0301.005	SN
0304.001	SN
0304.002	SN
0304.003	SN
0304.004	SN
0304.005	SN
0304.006	SN
0304.007	SN
031	SN
032	SN
03201900	SN
0326667575	SN
033	SN
0331	SN
03312028706	SN
0333	SN
0334	SN
0335	SN
0338	SN
0339	SN
034	SN
0342	SN
0343	SN
0343557896	SN
0344	SN
0345	SN
0348	SN
0355	SN
0358	SN
0361	SN
0389	SN
0391	SN
04	SN
041	SN
0415	SN
0416841	SN
04175761541	SN
042	SN
0420	SN
0426277407	SN
043	SN
04312758675	SN
0434	SN
0441	SN
0450	SN
046	SN
048	SN
0483	SN
049	SN
05	SN
050	SN
051	SN
051241	SN
0518088798	SN
051818	SN
052	SN
0524	SN
053	SN
0537445263	SN
054	SN
05464567555	SN
055	SN
056	SN
0562	SN
0581	SN
0595	SN
06	SN
061	SN
062	SN
063	SN
0634	SN
0638	SN
064	SN
0655	SN
067	SN
0676	SN
0690	SN
0695	SN
07	SN
0709	SN
072	SN
0726	SN
0745	SN
08	SN
080	SN
0815	SN
083	SN
087	SN
0870	SN
088	SN
09	SN
091	SN
0911	SN
092	SN
095	SN
0971	SN
098	SN
099	SN
0997	SN
1	SN
1,000	SN
1,017	SN
1,048	SN
1,070	SN
1,086	SN
1,134	SN
1,147	SN
1,170	SN
1,180	SN
1,190	SN
1,199	SN
1,200	SN
1,236	SN
1,265	SN
1,284	SN
1,300	SN
1,385	SN
1,400	SN
1,452	SN
1,464	SN
1,472	SN
1,500	SN
1,645	SN
1,654	SN
1,700	SN
1,908	SN
1,915	SN
1,989,530,000	SN
1.0	SN
1.00	SN
1.01	SN
1.0156	SN
1.0182	SN
1.024	SN
1.02778	SN
1.02789	SN
1.028	SN
1.03	SN
1.030	SN
1.04	SN
1.041902	SN
1.05	SN
1.06	SN
1.0625	SN
1.07	SN
1.1	SN
1.11	SN
1.12	SN
1.14	SN
1.16	SN
1.16675	SN
1.1747	SN
1.1805	SN
1.2	SN
1.20	SN
1.21	SN
1.2114	SN
1.22	SN
1.25	SN
1.26	SN
1.28	SN
1.29	SN
1.3	SN
1.30	SN
1.32	SN
1.33	SN
1.374	SN
1.4	SN
1.41	SN
1.412	SN
1.414	SN
1.4142	SN
1.41421	SN
1.41421356237	SN
1.41421356237309504880168	SN
1.41422	SN
1.4143	SN
1.415	SN
1.42	SN
1.421	SN
1.4211	SN
1.42111	SN
1.422	SN
1.46	SN
1.49	SN
1.5	SN
1.52	SN
1.544	SN
1.6	SN
1.60	SN
1.603	SN
1.60312195	SN
1.618	SN
1.63	SN
1.66	SN
1.7	SN
1.70	SN
1.7320508	SN
1.75	SN
1.78	SN
1.797	SN
1.8	SN
1.82	SN
1.83	SN
1.85	SN
1.9	SN
1.95	SN
1.96	SN
1.98	SN
1.9881	SN
1.99	SN
10	SN
10,000	SN
10.0	SN
10.1	SN
10.11.12	SN
10.2	SN
10.25	SN
10.27	SN
10.29	SN
10.3	SN
10.31	SN
10.4	SN
10.5	SN
10.50	SN
10.55	SN
10.6	SN
10.7	SN
10.73	SN
10.74	SN
10.75	SN
10.77	SN
10.78	SN
10.8	SN
10.81	SN
10.89	SN
10.9	SN
100	SN
1000	SN
10000	SN
100076	SN
1001	SN
1002	SN
1004	SN
101	SN
101.54	SN
101.64	SN
1010110111010011	SN
1013	SN
1014	SN
1016	SN
1017	SN
1019	SN
102	SN
102.06	SN
102.2	SN
1021	SN
1023	SN
1024	SN
1025	SN
1026	SN
103	SN
103.20	SN
1030	SN
1031	SN
1032	SN
1033	SN
104	SN
104.0	SN
104.32	SN
104.4	SN
104.5	SN
1041	SN
1042	SN
1043	SN
1048	SN
105	SN
105.56	SN
1050	SN
1051	SN
1054	SN
106	SN
1060	SN
10609	SN
1061	SN
1064	SN
10646	SN
1068	SN
107	SN
107.2	SN
1074	SN
108	SN
1082	SN
1084	SN
1086	SN
109	SN
1091	SN
1095	SN
1096	SN
11	SN
11,288	SN
11.0	SN
11.00	SN
11.1	SN
11.12	SN
11.2	SN
11.22	SN
11.25	SN
11.3	SN
11.4	SN
11.5	SN
11.6	SN
11.8	SN
11.9	SN
110	SN
110.9	SN
1100	SN
1102	SN
1103	SN
1104	SN
1107	SN
1108	SN
111	SN
111.2	SN
111.8	SN
1113	SN
1114	SN
1115	SN
1116	SN
112	SN
1121	SN
1123	SN
1125	SN
1126	SN
113	SN
1130	SN
114	SN
114.8	SN
1144	SN
1145	SN
1147	SN
1148	SN
115	SN
1150	SN
1152	SN
116	SN
1161	SN
11664	SN
1167	SN
117	SN
117.2	SN
117.58	SN
1172	SN
118	SN
1180	SN
1181	SN
1189	SN
119	SN
119.2	SN
1190	SN
119384	SN
1198	SN
12	SN
12,049	SN
12.0	SN
12.00	SN
12.1	SN
12.10	SN
12.11	SN
12.12	SN
12.16	SN
12.17	SN
12.2	SN
12.21	SN
12.26	SN
12.28	SN
12.29	SN
12.3	SN
12.31	SN
12.34	SN
12.4	SN
12.40	SN
12.5	SN
12.6	SN
12.7	SN
12.75	SN
12.8	SN
12.9	SN
120	SN
1200	SN
1201	SN
1204	SN
1209	SN
121	SN
121.6	SN
1212	SN
1215	SN
1216	SN
1218	SN
1219	SN
122	SN
12218	SN
1224	SN
1225	SN
1229	SN
123	SN
1231	SN
1232	SN
1233	SN
1234	SN
1235	SN
1236	SN
124	SN
1241	SN
125	SN
1250	SN
1256	SN
126	SN
1260	SN
1261	SN
1267	SN
127	SN
127.6	SN
1274	SN
1276	SN
1279	SN
128	SN
128.8	SN
1281	SN
129	SN
1293	SN
1294	SN
1295	SN
1298	SN
13	SN
13.0	SN
13.1	SN
13.2	SN
13.27	SN
13.3	SN
13.4	SN
13.5	SN
13.6	SN
13.75	SN
13.8	SN
13.80	SN
13.88	SN
13.9	SN
130	SN
1300	SN
1301	SN
1304	SN
1306	SN
1308	SN
1309	SN
131	SN
1312	SN
1313	SN
1316	SN
1318	SN
132	SN
132.8	SN
132.80	SN
1325	SN
1326	SN
1328	SN
133	SN
1331	SN
1333	SN
1334	SN
1335	SN
1337	SN
1338	SN
134	SN
1345.0	SN
1346	SN
1347	SN
135	SN
1350	SN
1356	SN
1357	SN
136	SN
